id,square_term,sentiment,text
gp:AOqpTOGwGfpYa5XpPGL68q_P8LR2HAlWkWtGGtRa70FnxI1xYwlLhWpM8EJ2wh2QrEL_LwmFpa8hfCHLVaEiIw,1,negative,Péssimo. Vocês poderiam facilitar a recuperação da senha do ENEM (página do participante). Ficou complicado na forma atual. Poderiam enviar a senha por e-mail como era antes. Agora está horrível!
gp:AOqpTOE6rVZMvro4PNHEoqQ8cmcrey-E-e0c-C-gue6DXjajNAlzF937rTm0aMqT17UVSxhVer2o1fQeIplS7A,1,positive,"Como tudo que nosso governo coloca a mão esse app é um lixo, não ajuda em nada, muito pelo contrário."
gp:AOqpTOEQCKKKvGsEmMY4lgcgA2V8JaIK1JT9siidOOo2udWOHbO7Y9LcMB5RWpMM02J2RTuz_fWeutlQMMvv1w,0,negative,Orivel esse app 😠😡😡💩
gp:AOqpTOGlM61v8gilez-vn6D5m6_v9x4c7HKlhbCAfOvCfvQWQSV5jlul6uheOI2GsggOLsDhahQipuwwDo2oEg,0,positive,Legal
gp:AOqpTOEdwiop-vwzzF1_0nvas56N2zwdpf3fMF9fwODsm7e-kCV9JyKhGmRBq3rR6Q8NxsH3KpElGosqKM88KA,1,negative,"App péssimo, não tem como criar uma conta, da erro o tempo todo, estou à dias tentando fazer um cadastro pra verificar a metade do meu pagamento e não consigo acessar, método de validação facial péssimo."
gp:AOqpTOETRraDAapcTZOz4-s_VkBdVZdFgG5eNeSIfAD52s5CFwx2cmS4BJzdW2y2cbFPkPGWqEHoD6iH7P2aKQ,1,negative,"Tentei recuperar a minha senha , mas não aparece as opções de reenviar um código por via SMS ou por e-mail ."
gp:AOqpTOFercsAKbGWtnw1213ScRSQ13ebzS8rRgCkU6PBvaHuj_DkR_ESZhLEf1FIrm931WEaaXceTsqacHoDtg,0,positive,Muito bom
gp:AOqpTOGTKG_HClFPUkqvSmg0VoP_DA7ZD-nAy404XymUr2O0cNZxOtN3Fn_jbMy3shIhGUBHagcRSBldRjcCBA,0,neutral,Gea
gp:AOqpTOGM8T_6gGMiD0m9EbPCFfvLjEQlrN7ENXGOcnV71W-CTEGNEGgH55kdvzwfx3QW5DwF6Z2WOTXQsg1sWQ,1,positive,"BOA NOITE, EU TENHO A CARTEIRA DE HABILITAÇÃO DIGITAL, MAIS NA HORA DE FAZER A VALIDAÇÃO DA FOTO FACIL A SEGUNDA SÓ DA ERRO. EU ESTOU FAZENDO TDO CERTO. VCS TERIAM COMO ME LIGAREM???"
gp:AOqpTOH4dp2UdMFXlN8yMdXHe6Oqr6WEw8IAhl5i-8HwQZq_QXmru_vjulhOjlmh3zNWWkKl-FY6QXJUjig7pg,0,negative,App Fake cuidado
