Date,ID,Score,Text,User Name,Version,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,is_usability,is_classified,tam_comentario,col,count_col
2020-07-03,gp:AOqpTOGQYqUxy0wRIy5v-ZwXfMcNn_nF4FiKbB5rwnpaCf5L8gjINb0ySZwJgh4HoYMWsdGfUqIMK4KztJGy-Q,4.0,Ok,Ageu Souza,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,H1,69
2020-05-20,gp:AOqpTOEJ-tdSvp09Dvg3_81aTiDuhPPW9RKp5RtmAjc4icCeWs9sZOl5tnr0bIxZGBmk2ba3Im_qAoitBFuJHQ,4.0,Ok,Zenilson Santos,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,H2,7
2020-05-18,gp:AOqpTOG9KAw8pd1bk9SAiCG427z_uVCb_TJB-ihNXjxPisN04fqfid59zECvsvcaIUtVWDxcPpANNdEebUsEtQ,5.0,Hh,Aleh do grau,1.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,H3,17
2020-07-02,gp:AOqpTOGZZKPfoGk8FabMuQNr5rXfVTA5S42LAiU0Q_Tdrl-NsXVSvSFEGW10DNqRt2D1SwL0bHcmG5ePFLFPlQ,5.0,Boa,Adilson Rodrigues,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H4,14
2020-06-29,gp:AOqpTOFs-js32cK-a5E6qT2AFUrnoNtUNDX56BAWAxq3APXfez6EDhR7d3lGfdyWv3hHL4Z5hQP_g7ASYFmMQw,5.0,Bom,David Brandão,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H5,161
2020-06-23,gp:AOqpTOH-TkxBfhnIzr1Jqm9y42DJBdWeYlcbnrXPOhYoftBSSrh_qkkuP1HU-B8_XEcGbsT1bo_Y0fb2jH7i9g,5.0,Boa,Geraldo Quintino,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H6,24
2020-06-22,gp:AOqpTOFB0nlsIMwt1OKfZb40H6CJCfmQ-w32_C3yLO9iEMzQBAFTA5948u5GSuVC_WRlpkh5cIU8AMJBq1n1ug,4.0,Bom,Gina Rosario,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H7,100
2020-06-18,gp:AOqpTOFH4t2k1nhCi5MLQAlpIGK6dh-p5Q1yf7TIYky546P-z-J539UVpgqVYkfcIPqD6ApHXp1CjlFn5RZ5FA,5.0,Bom,Tuliane Oliveira,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H8,8
2020-06-14,gp:AOqpTOE1X2pwlh5fM9Y0LgwuIx4AsorF_hmUPCngXsFNMt7vZfXEtliFOPQuap1gcKVgw4AxzWPrlNzMbxwS5w,5.0,Bom,Roberto Mengao,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H9,224
2020-06-13,gp:AOqpTOFiPgONTLT35uLMRBHuLBEXykFKOsEs-4Cn8o-psCW5aJpEi2IQEHzrAPy_QFNURlBsY92NMWqGi_hLng,5.0,Amo,Alison Monteiro,1.1.2002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,H10,246
