ID,App ID,Date,Reply Date,Reply Text,Score,Sentiment,Square Term,Text,Text En,Thumbs Up,Title,URL,User Name,Version
gp:AOqpTOHZ9b0kCWnytlK-YJh44a9E1GSfAeolQXeg0i-Td-AenN9MgGrOPFAIBJidEaW8S5rLuYkJu5shW9bCvw,br.gov.meugovbr,2020-05-22,,,1.0,positive,functional suitabillity,"Não consigo imprimir o boleto para fazer o enem. Me inscrevi dia 11/05 e nada desse boleto, quando tento me cadastrar da em outro número. OQUE EU FAÇO??Caso contrário não vou conseguir fazer o enem????","I can't print the boleto to make the enem. I signed up on May 11th and none of this ticket, when I try to sign up for another number. WHAT DO I DO ?? Otherwise I won't be able to make the enem ????",0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOHZ9b0kCWnytlK-YJh44a9E1GSfAeolQXeg0i-Td-AenN9MgGrOPFAIBJidEaW8S5rLuYkJu5shW9bCvw,luana,1.1.0
gp:AOqpTOGwGfpYa5XpPGL68q_P8LR2HAlWkWtGGtRa70FnxI1xYwlLhWpM8EJ2wh2QrEL_LwmFpa8hfCHLVaEiIw,br.gov.meugovbr,2020-05-22,,,1.0,negative,usabillity,Péssimo. Vocês poderiam facilitar a recuperação da senha do ENEM (página do participante). Ficou complicado na forma atual. Poderiam enviar a senha por e-mail como era antes. Agora está horrível!,Terrible. You could facilitate the recovery of the ENEM password (participant's page). It got complicated in its current form. They could send the password by email as it was before. Now it's awful!,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOGwGfpYa5XpPGL68q_P8LR2HAlWkWtGGtRa70FnxI1xYwlLhWpM8EJ2wh2QrEL_LwmFpa8hfCHLVaEiIw,Gabi,1.1.0
gp:AOqpTOG-7wpB8tAPlaoqyNm2aA4NQHxvJt-skZClHoSb1YTQ5egtHF9fmIXfxnt2WoYRQjOXFlXCBOl-Rgp18w,br.gov.meugovbr,2020-05-22,,,1.0,neutral,functional suitabillity,N consigo fazer nada e ñ chego nem o email pra mim,I can't do anything and I don't even get the email for me,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOG-7wpB8tAPlaoqyNm2aA4NQHxvJt-skZClHoSb1YTQ5egtHF9fmIXfxnt2WoYRQjOXFlXCBOl-Rgp18w,raphaela vitorino,1.1.0
gp:AOqpTOEdwiop-vwzzF1_0nvas56N2zwdpf3fMF9fwODsm7e-kCV9JyKhGmRBq3rR6Q8NxsH3KpElGosqKM88KA,br.gov.meugovbr,2020-05-21,2020-05-21,"Verifique as orientações de como criar a conta no app na FAQ: https://e.gov.br/contacelular
Lembrando que é necessário ter a CNH para conseguir criar a conta.
A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro.
Agradecemos a sua contribuição.",1.0,negative,usabillity,"App péssimo, não tem como criar uma conta, da erro o tempo todo, estou à dias tentando fazer um cadastro pra verificar a metade do meu pagamento e não consigo acessar, método de validação facial péssimo.","Lousy app, there's no way to create an account, I make mistakes all the time, I've been trying to register for half of my payment for days and I can't access, terrible facial validation method.",0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOEdwiop-vwzzF1_0nvas56N2zwdpf3fMF9fwODsm7e-kCV9JyKhGmRBq3rR6Q8NxsH3KpElGosqKM88KA,Carine Melo,1.1.0
gp:AOqpTOEQCKKKvGsEmMY4lgcgA2V8JaIK1JT9siidOOo2udWOHbO7Y9LcMB5RWpMM02J2RTuz_fWeutlQMMvv1w,br.gov.meugovbr,2020-05-19,2020-05-20,"Verifique as orientações na FAQ para dúvidas gerais: https://faq-login-unico.servicos.gov.br.
A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição.",5.0,negative,na,Orivel esse app 😠😡😡💩,Orivel esse app 😠😡😡💩,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOEQCKKKvGsEmMY4lgcgA2V8JaIK1JT9siidOOo2udWOHbO7Y9LcMB5RWpMM02J2RTuz_fWeutlQMMvv1w,Israel Da Silva,1.0.0
gp:AOqpTOE6rVZMvro4PNHEoqQ8cmcrey-E-e0c-C-gue6DXjajNAlzF937rTm0aMqT17UVSxhVer2o1fQeIplS7A,br.gov.meugovbr,2020-05-20,2020-05-20,"Verifique as orientações na FAQ para dúvidas gerais: https://faq-login-unico.servicos.gov.br.
A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição.",1.0,positive,usabillity,"Como tudo que nosso governo coloca a mão esse app é um lixo, não ajuda em nada, muito pelo contrário.","As everything that our government puts at hand this app is garbage, it does not help at all, quite the contrary.",0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOE6rVZMvro4PNHEoqQ8cmcrey-E-e0c-C-gue6DXjajNAlzF937rTm0aMqT17UVSxhVer2o1fQeIplS7A,LH Pisa,1.1.0
gp:AOqpTOFercsAKbGWtnw1213ScRSQ13ebzS8rRgCkU6PBvaHuj_DkR_ESZhLEf1FIrm931WEaaXceTsqacHoDtg,br.gov.meugovbr,2020-05-18,2020-05-12,"A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição.",5.0,positive,na,Muito bom,Very good,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOFercsAKbGWtnw1213ScRSQ13ebzS8rRgCkU6PBvaHuj_DkR_ESZhLEf1FIrm931WEaaXceTsqacHoDtg,Geraldo Vilar de Oliveira,1.0.0
gp:AOqpTOETRraDAapcTZOz4-s_VkBdVZdFgG5eNeSIfAD52s5CFwx2cmS4BJzdW2y2cbFPkPGWqEHoD6iH7P2aKQ,br.gov.meugovbr,2020-05-18,2020-05-19,"Para recuperar sua senha e atualizar o e-mail cadastrado, acesse as orientações na FAQ:https://e.gov.br/recuperarcadastro
Por meio do formulário, conseguirá entrar em contato e explicar seu problema a equipe.
A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição",1.0,negative,usabillity,"Tentei recuperar a minha senha , mas não aparece as opções de reenviar um código por via SMS ou por e-mail .","I tried to recover my password, but there are no options to resend a code via SMS or e-mail.",0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOETRraDAapcTZOz4-s_VkBdVZdFgG5eNeSIfAD52s5CFwx2cmS4BJzdW2y2cbFPkPGWqEHoD6iH7P2aKQ,Lidcleide Santos,1.0.0
gp:AOqpTOGlM61v8gilez-vn6D5m6_v9x4c7HKlhbCAfOvCfvQWQSV5jlul6uheOI2GsggOLsDhahQipuwwDo2oEg,br.gov.meugovbr,2020-05-17,2020-05-18,"A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição.",5.0,positive,na,Legal,Legal,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOGlM61v8gilez-vn6D5m6_v9x4c7HKlhbCAfOvCfvQWQSV5jlul6uheOI2GsggOLsDhahQipuwwDo2oEg,jalom marques oliveira marques oliveira,1.0.0
gp:AOqpTOGTKG_HClFPUkqvSmg0VoP_DA7ZD-nAy404XymUr2O0cNZxOtN3Fn_jbMy3shIhGUBHagcRSBldRjcCBA,br.gov.meugovbr,2020-05-16,2020-05-18,"Verifique as orientações na FAQ para dúvidas gerais: https://faq-login-unico.servicos.gov.br.
A equipe gov.br está trabalhando para tornar o aplicativo mais simples e seguro e melhorar a sua experiência.
Agradecemos a sua contribuição.",1.0,neutral,na,Gea,Gea,0,,https://play.google.com/store/apps/details?id=br.gov.meugovbr&reviewId=gp:AOqpTOGTKG_HClFPUkqvSmg0VoP_DA7ZD-nAy404XymUr2O0cNZxOtN3Fn_jbMy3shIhGUBHagcRSBldRjcCBA,Daniel Lopes,1.0.0
