Date,ID,Score,Text,User Name,Version,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,is_usability,is_classified,,
2020-07-06,gp:AOqpTOEAoU7yqbku6p11S8xAmTVWRkt0qC0lG4I-XH-aKqUYoBvlXRVBPmOCEfu4c8d3x95IvEF06yqPaEDEwQ,1.0,Negócio de reconhecimento facialnão funciona. Não dá pra ficar o dia todo nisso não. Arrumem isso por favor.,Maycon Mattos,1.1.2004,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,USABILITY,175
2020-07-06,gp:AOqpTOGoBVvBdtutEKaPnD7--OBC8nDGbSuRniM3VbmTjuAXTMqnCQ8GYkFzAv-6b2psOFDgW5lnq1T6VmWTrA,1.0,Um lixo!!! 9 tentativas de econhecimento facial sem êxito. É duro depender destas soluções que nosso governo cria,Rodrigo Carrilho,1.1.2004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NOT USABILITY,755
2020-07-06,gp:AOqpTOFUV6HfFseu9It6e2HTJy3CWzCuNgqCyelLRkayKB7wEoY3XXCvuItsN2G_v_2k3VWNsd8-H-xddnjr_g,1.0,Horrível! Pior que FBI! Se fosse pra receberem algo da gente duvido que seria tao burocratico...😂 A gente tira todas as fotos e é notificado sobre expiração de tempo!,Iran de Souza,1.1.2004,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,H1,56
2020-07-06,gp:AOqpTOG3mZqb8oLGMk-njqh5ycoCJ0EMNIVEghrRUzgn76ufNpRxgTYLCwkNQpnCr2y5zIUMO4la_1WjK5siDw,5.0,Meio difícil fazer sem óculos mais deu certo,Marcos Besler,1.1.2004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,H2,7
2020-07-06,gp:AOqpTOE-kXsLJBlMyY8W7NWsdk_XrfVsYpOZSATrW5vkCEUZzbmSUNnpUrUkX4Ix_5x81Tqp1ev_sFwNLneywA,1.0,"Não serve pra nada , não dá para acessar,péssimo.",Óticas Enlace,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,H3,5
2020-07-06,gp:AOqpTOF3VTFgSz-q-6_08iCX5v31MQRaXWFj2xLAiJmqvfGSyLDCscT4YUISeqYDcyO4kaLG07lPk1dLpEtuSw,2.0,Beleza,Nando Vaz Nogueira,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,H4,15
2020-07-06,gp:AOqpTOHEkFpeEMS5jh7li6sl689ytCEuvy0clRqWkpSbGJQYO3ORLoDr0kisae1E2fi9Ai2Bmv64sk_VrxyJfA,5.0,Muito bom,Joao Guilherme Da Silva Silva,1.1.2004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,H5,91
2020-07-06,gp:AOqpTOFAXXOitBZLGbm1Aoa9DBSb5G7F4cAtBm3qIx2rs4ZPrjx5hRw-L7DL1Uf5PIkJFBwEzij4vp7f8cCRVQ,1.0,"Péssimo, para que tanta tecnologia facial se não funciona. Não perca tempo, não instale",David Brandes,1.1.2004,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,H6,26
2020-07-06,gp:AOqpTOGP0aGrjbQsbLmH3gY_9__JsCr38RREjI5ZzrH53YVl7u4iNMZhb78pDnop6Dqu0Qucf3wIzdVDqNbfxQ,3.0,Tem assuntos interessantes. Porém com relação aos cursos deixa a desejar. Também faz uma semana que tento me inscrever nos cursos Profoco e não consigo.,Maria do Carmo Clemente,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,H7,18
2020-07-05,gp:AOqpTOEGzvgj8OCstwjuU6QJAyWykqOLEBlNwFYYraY4cCpv3EVWmdrvXeG6JEkq_9-Wn9jQd1VzEHfT7PXmYA,2.0,"Não consigo terminar a validação biométrica porque não tenho CNH,não entendi esse requisito.",autemas,1.1.2004,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,H8,5
